REGIAO:;SE;;;
UF:;SP;;;
ESTACAO:;SAO PAULO - INTERLAGOS;;;
CODIGO (WMO):;A771;;;
LATITUDE:;-2,372,444,443;;;
LONGITUDE:;-4,667,749,999;;;
ALTITUDE:;771;;;
DATA DE FUNDACAO:;14/03/2018;;;
Data;Hora UTC;Precipitacao;Temperatura;Umidade
20/01/2026;0300 UTC;0;17,8;88
20/01/2026;0400 UTC;0;17,5;88
20/01/2026;0500 UTC;0;17,1;89
20/01/2026;0600 UTC;0;17,1;89
20/01/2026;0700 UTC;,4;16,5;93
20/01/2026;0800 UTC;0;16,3;92
20/01/2026;0900 UTC;0;16,3;88
20/01/2026;1000 UTC;0;16,7;85
20/01/2026;1100 UTC;0;18,5;78
20/01/2026;1200 UTC;0;18,4;73
20/01/2026;1300 UTC;0;18,7;75
20/01/2026;1400 UTC;0;19;71
20/01/2026;1500 UTC;0;19,6;73
20/01/2026;1600 UTC;0;20,6;72
20/01/2026;1700 UTC;0;20,7;69
20/01/2026;1800 UTC;0;20,1;75
20/01/2026;1900 UTC;,6;17,2;91
20/01/2026;2000 UTC;,2;16,8;93
20/01/2026;2100 UTC;0;16,4;90
20/01/2026;2200 UTC;0;16,6;86
20/01/2026;2300 UTC;0;16,5;88
21/01/2026;0000 UTC;0;16,6;88
21/01/2026;0100 UTC;0;16,5;87
21/01/2026;0200 UTC;0;16,4;89
21/01/2026;0300 UTC;0;16,1;88
21/01/2026;0400 UTC;0;16;87
21/01/2026;0500 UTC;0;16,2;91
21/01/2026;0600 UTC;0;15,9;90
21/01/2026;0700 UTC;0;15,6;93
21/01/2026;0800 UTC;,2;15,6;94
21/01/2026;0900 UTC;,2;15,5;96
21/01/2026;1000 UTC;,2;15,4;95
21/01/2026;1100 UTC;0;16;93
21/01/2026;1200 UTC;0;16,7;86
21/01/2026;1300 UTC;0;17,2;83
21/01/2026;1400 UTC;0;16,3;90
21/01/2026;1500 UTC;,4;17,9;77
21/01/2026;1600 UTC;0;18,9;73
21/01/2026;1700 UTC;0;18,3;75
21/01/2026;1800 UTC;0;17,5;79
21/01/2026;1900 UTC;0;17,6;82
21/01/2026;2000 UTC;0;17,1;83
21/01/2026;2100 UTC;0;17,4;81
21/01/2026;2200 UTC;0;17,1;84
21/01/2026;2300 UTC;0;17;88
22/01/2026;0000 UTC;0;16,9;87
22/01/2026;0100 UTC;0;17;82
22/01/2026;0200 UTC;0;16,6;88
22/01/2026;0300 UTC;0;16,5;89
22/01/2026;0400 UTC;0;16,3;89
22/01/2026;0500 UTC;0;16,3;90
22/01/2026;0600 UTC;0;16,3;91
22/01/2026;0700 UTC;0;16,7;88
22/01/2026;0800 UTC;0;16,7;87
22/01/2026;0900 UTC;0;16,8;88
22/01/2026;1000 UTC;0;17,4;88
22/01/2026;1100 UTC;0;17,5;91
22/01/2026;1200 UTC;0;18,3;86
22/01/2026;1300 UTC;0;18,6;87
22/01/2026;1400 UTC;0;18,1;91
22/01/2026;1500 UTC;0;17,9;93
22/01/2026;1600 UTC;,2;18,8;87
22/01/2026;1700 UTC;,2;17,3;93
22/01/2026;1800 UTC;,2;17,3;90
22/01/2026;1900 UTC;0;17,7;82
22/01/2026;2000 UTC;0;17,8;83
22/01/2026;2100 UTC;0;17,4;84
22/01/2026;2200 UTC;,2;16,4;91
22/01/2026;2300 UTC;0;16,7;90
23/01/2026;0000 UTC;0;16,6;91
23/01/2026;0100 UTC;0;16,3;87
23/01/2026;0200 UTC;0;15,9;92
23/01/2026;0300 UTC;0;16;94
23/01/2026;0400 UTC;0;16,3;94
23/01/2026;0500 UTC;0;16,3;96
23/01/2026;0600 UTC;,2;16,2;97
23/01/2026;0700 UTC;0;16,3;97
23/01/2026;0800 UTC;0;17;97
23/01/2026;0900 UTC;,2;17;97
23/01/2026;1000 UTC;,2;17,5;97
23/01/2026;1100 UTC;0;18,2;97
23/01/2026;1200 UTC;0;20,2;86
23/01/2026;1300 UTC;0;19,3;90
23/01/2026;1400 UTC;,4;21,1;83
23/01/2026;1500 UTC;0;21,7;84
23/01/2026;1600 UTC;0;22,2;76
23/01/2026;1700 UTC;0;22,3;76
23/01/2026;1800 UTC;0;23,4;69
23/01/2026;1900 UTC;0;21,3;77
23/01/2026;2000 UTC;0;19,8;86
23/01/2026;2100 UTC;0;19;91
23/01/2026;2200 UTC;,2;18,3;94
23/01/2026;2300 UTC;0;18,3;92
24/01/2026;0000 UTC;0;18,5;91
24/01/2026;0100 UTC;0;18,7;91
24/01/2026;0200 UTC;0;18,4;91
24/01/2026;0300 UTC;0;18,4;93
24/01/2026;0400 UTC;,2;18,5;95
24/01/2026;0500 UTC;0;18,4;92
24/01/2026;0600 UTC;0;18,3;93
24/01/2026;0700 UTC;0;18,3;91
24/01/2026;0800 UTC;0;18;92
24/01/2026;0900 UTC;0;18,3;92
24/01/2026;1000 UTC;0;18,5;93
24/01/2026;1100 UTC;0;18,2;92
24/01/2026;1200 UTC;0;19,8;84
24/01/2026;1300 UTC;0;22,2;77
24/01/2026;1400 UTC;0;22,7;72
24/01/2026;1500 UTC;0;23;71
24/01/2026;1600 UTC;0;23,5;70
24/01/2026;1700 UTC;,2;22,6;75
24/01/2026;1800 UTC;,2;21,1;88
24/01/2026;1900 UTC;0;22,6;80
24/01/2026;2000 UTC;0;21,1;83
24/01/2026;2100 UTC;0;19,9;91
24/01/2026;2200 UTC;0;19,3;95
24/01/2026;2300 UTC;,2;19;96
25/01/2026;0000 UTC;0;19,1;95
25/01/2026;0100 UTC;1,4;19;96
25/01/2026;0200 UTC;1,4;19,2;96
25/01/2026;0300 UTC;0;18,9;96
25/01/2026;0400 UTC;0;18,8;95
25/01/2026;0500 UTC;0;18,5;95
25/01/2026;0600 UTC;0;18,4;96
